label	avg	MATH	GPQA	IFEval	LCB	GSM8K	on_hub	url	ckpt	local_size	log
8B S50 d=0.01 lr=5e-5	64.68	86.20	51.01	77.08	24.63	84.46	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260907_210125	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260907_194808	16.4 GB	delta_resweep_opkdfix/s50_delta0.01.log
8B S50 d=0.03 lr=5e-5	64.18	86.80	48.48	76.52	27.24	81.88	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260906_054546	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260906_043252	16.4 GB	delta_sweep_8b_s50_s60/s50_delta0.03.log
8B S50 d=0.02 lr=5e-5	63.91	85.20	50.00	76.16	24.63	83.55	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260907_220137	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260907_205011	16.4 GB	delta_resweep_opkdfix/s50_delta0.02.log
8B S50 d=0.005 lr=5e-5	63.83	87.00	47.47	74.49	27.24	82.94	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260910_051156	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260910_035856	16.4 GB	delta005_fsdp2/s50_delta0.005_fsdp2.log
8B S50 d=0.01 lr=5e-5	63.57	86.60	46.97	75.23	26.12	82.94	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260901_165041	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260901_153749		queue_gmp_pgd_grow_to_target_8b/s50_klb0.01.log
8B S50 d=0.03 lr=5e-5	63.56	85.40	46.46	76.34	25.37	84.23	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260907_005001	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260906_234037	16.4 GB	opkdfix_8b_s50_s60_delta0.03/s50_delta0.03_opkdfix.log
8B S50 lr=5e-5	63.06	85.60	44.95	76.52	25.00	83.24	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260825_073546	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260825_062313	16.4 GB	gmp_pgd_klgate_8b_s50_lr5e-5_fsdp2gpu_v2.launch.log
8B S50 d=999 lr=5e-5	62.70	83.80	47.98	75.05	24.63	82.03	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260827_133259	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260827_133259		queue_gmp_pgd_klgate_8b/s50_u_duringgrowth.log
8B S50	62.44	85.00	42.42	75.60	26.49	82.71	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260908_053513	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260908_042209	16.4 GB	alpssft512_8b/alpssft512_s50.log
8B S50 d=0.02 lr=5e-5	61.56	84.20	48.48	70.79	23.51	80.82	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr5e-5_20260831_190310	gmp_s50pct_lr5e-05_onpol_lmda0.33_20260831_174631	16.4 GB	queue_gmp_pgd_klgate_8b_cubic/s50_cubic.log
8B S60 lr=5e-5	59.19	82.80	43.94	65.99	21.27	81.96	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s60pct-lr5e-5_20260825_074409	gmp_s60pct_lr5e-05_onpol_lmda0.33_20260825_062633	16.4 GB	gmp_pgd_klgate_8b_s60_lr5e-5_fsdp2gpu_v2.launch.log
8B S60 d=0.01 lr=5e-5	58.90	81.60	41.41	66.17	22.39	82.94	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s60pct-lr5e-5_20260907_142152	gmp_s60pct_lr5e-05_onpol_lmda0.33_20260907_130542	16.4 GB	delta_resweep_opkdfix/s60_delta0.01.log
8B S60 d=0.01 lr=5e-5	58.87	81.20	42.93	65.80	21.64	82.79	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s60pct-lr5e-5_20260902_230621	gmp_s60pct_lr5e-05_onpol_lmda0.33_20260902_215018		queue_gmp_pgd_grow_to_target_8b/s60_klb0.01_v2.log
8B S60 d=0.03 lr=5e-5	58.59	82.60	44.44	64.33	19.03	82.56	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s60pct-lr5e-5_20260907_015307	gmp_s60pct_lr5e-05_onpol_lmda0.33_20260907_004138	16.4 GB	opkdfix_8b_s50_s60_delta0.03/s60_delta0.03_opkdfix.log
8B S60 d=0.03 lr=5e-5	58.49	82.60	45.45	63.40	17.91	83.09	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s60pct-lr5e-5_20260906_055529	gmp_s60pct_lr5e-05_onpol_lmda0.33_20260906_043957	16.4 GB	delta_sweep_8b_s50_s60/s60_delta0.03.log
8B S60 d=0.02 lr=5e-5	58.06	81.20	42.93	65.99	17.91	82.26	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s60pct-lr5e-5_20260901_165249	gmp_s60pct_lr5e-05_onpol_lmda0.33_20260901_153400		queue_gmp_pgd_grow_to_target_8b/s60.log
8B S60	57.61	82.80	37.37	65.99	22.76	79.15	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s60pct-lr5e-5_20260908_054305	gmp_s60pct_lr5e-05_onpol_lmda0.33_20260908_042548	16.4 GB	alpssft512_8b/alpssft512_s60.log
8B S60 d=0.02 lr=5e-5	57.29	83.00	36.87	65.43	19.40	81.73	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s60pct-lr5e-5_20260907_152730	gmp_s60pct_lr5e-05_onpol_lmda0.33_20260907_141314	16.4 GB	delta_resweep_opkdfix/s60_delta0.02.log
8B S50	55.64	81.80	39.39	57.12	20.52	79.38	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr1e-4_20260908_140051	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260908_124044	16.4 GB	alpssft512_8b/alpssft512_n24.log
8B S50 ro=1	55.06	82.00	38.89	59.52	16.42	78.47	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr1e-4_20260821_153039	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260821_140855	16.4 GB	alpssft_8b_b200_n24_lr1e-4/run.log
