label	arm	state	model	avg5	MATH	GPQA	IFEval	LCB	GSM8K	n_bench	step	total	comp_events	comp_maxdelta	ckpt	log
4B 2:4 d=0.01 lr=1e-4 +comp	4b_24_klb0.01_comp	DONE	4B	44.16	67.20	33.84	39.74	7.46	72.55	5	2048	2048	254	16.38	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260910_044350	nm_compensate/4b_24_klb0.01_comp_v2.log
4B S70 d=0.02 lr=1e-4 B1frozen(ro=4096)	s70_ro4096	DONE	4B	43.97	72.80	28.79	37.89	4.48	75.89	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260903_065326	ablation_B1_frozen_pool_4b/s70_ro4096.log
8B S70 d=99999 lr=1e-4 B1frozen(ro=4096)	s70_A3B1_nogate_frozen	DONE	8B	43.96	68.80	30.81	40.30	6.72	73.16	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260905_142046	ablation_8b_s70_components/s70_A3B1_nogate_frozen.log
4B S70 d=0.02 lr=1e-4	s70_warm1024	DONE	4B	43.89	71.80	30.30	36.23	4.85	76.27	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260905_152937	ablation_warmup_sweep_4b_s70/s70_warm1024.log
8B S70 d=0.02 lr=1e-4	s70_cubic	DONE	8B	43.83	71.40	32.32	37.71	4.48	73.24	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260831_232937	queue_gmp_pgd_klgate_8b_cubic/s70_cubic.log
4B 2:4 lr=1e-4	gmp_pgd_klgate_4b_24_lr1e-4_pgdint8_mi32_nolasso.launch	DONE	4B	43.81	64.00	30.30	41.96	10.07	72.71	5	2048	2048	0		gmp_s50pct_lr0.0001_onpol_lmda0.33_20260824_194912	gmp_pgd_klgate_4b_24_lr1e-4_pgdint8_mi32_nolasso.launch.log
8B S70 d=0.02 lr=1e-4 jump	s70_A3jump_delta0.02	DONE	8B	42.86	66.80	30.81	41.22	5.97	69.52	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260908_085535	resweep2_opkdfix/s70_A3jump_delta0.02.log
4B S70 rule=schedule	s70_A2sched_matched	DONE	4B	42.75	70.60	29.29	34.20	7.09	72.55	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260903_131447	ablation_A2_schedule_4b/s70_A2sched_matched.log
4B S70 d=999 lr=1e-4	s70_u_posttargetonly	DONE	4B	42.70	70.20	28.28	38.08	5.60	71.34	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260827_043702	queue_gmp_pgd_klgate_4b/s70_u_posttargetonly.log
4B 2:4 lr=1e-4	gmp_pgd_klgate_4b_24_lr1e-4_bs1_mi32_opd512_nolasso.launch	DONE	4B	42.47	64.60	28.79	37.89	8.58	72.48	5	2048	2048	0		gmp_s50pct_lr0.0001_onpol_lmda0.33_20260824_112821	gmp_pgd_klgate_4b_24_lr1e-4_bs1_mi32_opd512_nolasso.launch.log
4B S70 lr=1e-4	gmp_pgd_klgate_4b_s70_lr1e-4_pgdint8_mi32.launch	DONE	4B	42.31	68.00	31.31	38.08	4.85	69.29	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260824_193758	gmp_pgd_klgate_4b_s70_lr1e-4_pgdint8_mi32.launch.log
4B S70 d=999 lr=1e-4	s70_u_duringgrowth	DONE	4B	41.93	71.00	28.79	32.90	5.22	71.72	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260826_215407	queue_gmp_pgd_klgate_4b/s70_u_duringgrowth.log
