block	wandb_id	run_name	state	seeds	checkpoint	train_run	ntp	kd	opd	rollout_interval	rollout_len	fixed_mask	pgd	kl_budget	tr	growth	mask_interval	steps	lr	seqlen
Qwen 3 4B s60 Ours, cubic schedule (pace-matched)	dvqrq8zv	s3_4b_s60_cubic_matched	finished	42	cosmos1030/gmp-kd3e-1-s60pct-lr5e-5_20260903_142958	1npg0ri2	0.33	0.33	0.33	32	512	False	True	0.02	False	cubic	32	2048	None	8192
Qwen 3 4B s70 SparseGPT	r9alde40	s3_4b_s70_sparsegpt	finished	0,1,42	cosmos1030/sparsegpt-qwen3-4b-s70pct															
Qwen 3 4B s70 SparseGPT selfgen	wue1cbzo	s3_4b_s70_sgpt_selfgen	finished	0,1,42	/home1/doyoonkim/projects/elsa/models/qwen3_4b_sgpt_s70pct_n128_selfgenv3															
Qwen 3 4B s70 SparseLLM	xrozbvfm	s3_4b_sparsellm_s70	finished	0,1,42	/home/doyoonkim/models/sparsellm_4b_s70															
Qwen 3 4B s70 ALPS	tn8f17g1	s3_4b_s70_alps	finished	0,1,42	cosmos1030/alps-qwen3-4b-s70pct															
Qwen 3 4B s70 ALPS selfgen	qztmuivj	s3_4b_s70_alps_selfgen	finished	0,1,42	/home1/doyoonkim/projects/elsa/models/qwen3_4b_alps_selfgen_v3_s70pct															
Qwen 3 4B s70 ALPS+retrain	vfjcx821	s3_4b_s70_alpsretrain	finished	0,1,42	cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260814_035030	5x4prktp	0.33	0.33	0.33	1	512	True	False	None	False	None	32	2048	None	8192
Qwen 3 4B s70 ALPS+retrain w/o OPD (0.5/0.5/0)	6hizpc1g	s3_4b_s70_alpsretrain_2term	finished	0,1,42	cosmos1030/gmp-kd5e-1-s70pct-lr1e-4_20260913_193547	4n7itrc2	0.5	0.5	0	32	512	True	False	0.01	False	cubic	32	2048	None	8192
Qwen 3 4B s70 ALPS + PGD (no trust region)	cw7zkw1i	s3_4b_alpspgdnotr_s70_seed42	finished	0,1,42	cosmos1030/gmp-4b-s70pct-lr0.0001-onpol-lmda0.33-20260922-002405-p291199															
Qwen 3 4B s70 ALPS + PGD (no trust region)	e0ihyq85	s3_4b_alpspgdnotr_s70_seed0	finished	0,1,42	cosmos1030/gmp-4b-s70pct-lr0.0001-onpol-lmda0.33-20260922-002405-p291199															
